Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age
1,40,39,1,430,7580,1,2,0,32
1,50,45,1,2040,9160,1,2,0,58
1,40,44,1,2310,7860,1,2,0,55
1,69,43,1,310,8680,2,2,0,56
1,55,39,1,310,8680,2,2,0,59
1,40,39,1,4230,8270,1,2,0,61
1,40,44,4,430,9590,1,1,0,48
1,20,35,6,4030,8680,1,1,0,16
1,30,40,1,850,6970,1,1,0,79
1,50,46,1,1820,8190,1,1,0,62
1,69,39,1,205,170,2,2,0,47
1,20,39,1,5160,6870,1,2,0,56
1,25,39,1,4220,7690,2,2,0,60
1,40,43,1,60,4670,1,1,0,48
1,20,31,6,9640,6390,1,1,0,15
1,50,39,6,5000,6670,1,2,0,44
1,38,42,6,5110,770,1,2,0,29
1,55,44,4,120,8190,1,1,0,58
1,30,41,4,4510,8980,2,1,10,49
1,40,39,1,7330,2290,1,2,0,66
1,40,44,6,1105,8590,1,2,0,33
1,40,42,3,7130,7680,1,2,0,48
1,32,39,6,7700,2980,1,2,0,26
1,40,39,4,4710,6190,1,1,0,63
1,40,45,6,4700,5170,1,1,0,35
1,20,43,4,2040,9160,1,2,0,52
1,40,40,6,6320,470,1,2,0,24
1,35,45,6,2100,7270,2,2,0,83
1,45,39,6,9130,4570,1,2,0,35
1,20,34,1,9120,7860,1,1,0,74
1,1,39,1,2540,7860,1,1,0,69
1,45,39,1,4710,4195,1,2,0,59
1,40,36,4,9130,770,1,1,0,53
1,30,39,4,5860,6380,1,1,0,50
1,30,35,6,4250,8590,1,1,0,24
1,30,39,1,9120,7860,1,1,0,48
2,40,40,1,7020,770,1,1,0,60
2,32,39,6,4720,4970,1,1,0,20
1,60,39,1,9510,770,2,1,0,58
2,40,46,1,2200,7870,1,1,0,44
2,36,43,1,3255,8190,1,1,0,37
1,20,41,3,9150,4670,1,2,0,66
1,40,40,4,9130,770,1,1,0,40
1,20,39,1,4940,5580,2,1,19,48
1,40,42,1,7410,570,1,2,0,41
1,32,43,1,3310,7980,1,2,0,40
1,40,36,6,6230,770,1,2,0,50
1,40,39,1,1965,7460,1,2,0,56
1,67,39,1,9130,1190,1,2,0,43
1,40,39,1,1020,6990,1,2,0,46
1,12,37,6,4030,7870,1,2,0,18
1,22,42,1,4720,8680,1,2,0,32
1,32,34,1,5110,5380,1,1,18,49
1,40,39,1,6220,770,1,1,0,51
1,40,34,3,4020,8680,1,2,0,70
1,21,40,1,4760,7860,1,2,0,52
1,40,42,1,7100,570,1,2,0,47
1,40,39,1,1020,6990,1,2,0,45
1,40,39,1,6230,770,2,2,0,61
1,37,39,1,4700,5370,1,2,0,59
1,40,39,6,7630,8590,1,2,0,38
2,40,43,1,800,8190,1,1,0,50
2,60,43,1,20,8660,1,1,0,48
3,60,31,1,9360,4970,1,1,0,55
1,40,39,6,9130,7790,1,1,0,38
1,20,39,1,5860,380,1,2,0,66
1,24,39,1,7260,8870,2,2,0,68
1,40,39,4,630,8180,1,2,0,42
1,20,36,1,9120,7860,1,2,4,66
2,30,40,1,4110,8680,1,1,0,32
1,40,39,1,8540,3895,1,2,0,54
1,40,36,1,310,8680,1,2,0,58
1,40,39,6,530,3190,1,2,0,23
1,45,45,1,2330,7860,1,1,0,39
1,40,41,1,7700,570,1,1,0,38
2,60,39,4,4600,8470,2,1,0,54
2,40,41,6,4720,4970,1,1,0,21
2,50,41,1,3800,9470,1,1,0,56
1,40,42,5,1020,6870,1,1,0,31
2,40,39,4,5810,6870,1,1,0,36
2,69,40,6,3800,9470,1,1,0,24
1,40,41,1,5240,9380,1,1,0,60
1,40,43,1,5860,7390,1,1,0,62
1,16,40,1,9150,4670,1,1,0,66
1,60,43,1,4930,7380,1,1,0,52
1,5,43,1,3255,8180,1,1,0,57
1,40,41,6,530,3190,1,1,0,23
1,25,42,1,9620,6380,1,1,0,55
1,45,44,6,150,2670,1,1,0,53
1,40,36,1,9130,2370,1,1,0,51
1,69,40,1,9130,6170,1,2,0,49
1,35,37,6,7750,3570,1,2,0,18
1,15,39,4,6230,770,2,2,4,52
1,40,43,2,1006,9480,1,1,0,44
1,50,40,4,160,2390,1,1,0,47
1,40,39,1,6355,770,1,1,0,28
1,40,43,1,1965,7460,1,1,0,23
1,50,39,1,7000,570,1,1,0,57
1,40,39,1,430,3895,1,1,0,53
1,40,39,6,4430,8270,1,1,0,25
1,25,39,1,3930,380,1,1,30,44
1,30,39,6,2320,7860,1,1,0,24
1,40,46,1,1820,9590,1,1,36,58
1,2,40,1,4760,5380,1,1,0,73
1,40,35,1,7420,6680,1,2,0,42
1,40,42,1,9840,9590,1,1,0,50
1,40,44,1,3258,8090,1,1,0,49
2,48,39,1,8030,1480,1,1,0,55
2,43,39,1,4610,8170,1,1,0,54
1,45,43,4,2310,7860,1,2,0,45
1,40,43,1,6230,770,1,2,0,39
1,40,42,4,7630,7070,2,2,0,50
1,40,39,1,20,770,1,2,0,51
1,40,41,6,6230,770,1,2,0,25
1,30,39,3,7160,8770,2,1,0,43
2,40,44,1,5000,9480,1,1,0,56
3,40,46,1,2200,7870,1,1,0,63
3,60,42,1,8350,8880,1,1,0,62
2,22,36,4,5400,6970,1,1,3,67
1,50,44,1,710,7390,2,1,0,62
1,45,43,6,830,6870,1,1,0,34
1,32,44,3,2310,7680,1,1,0,64
1,40,39,1,3645,8180,1,1,0,39
1,40,39,1,4220,6770,1,1,0,41
1,26,36,6,9620,4970,1,1,0,18
1,15,33,1,4230,7690,1,1,0,45
1,40,46,4,735,7490,1,1,0,46
1,20,36,4,2825,9170,1,2,0,25
2,45,42,6,530,3190,1,1,0,41
1,50,41,6,310,8680,1,1,0,24
1,37,43,1,4800,6480,1,1,0,41
1,40,33,2,6260,770,1,2,0,39
1,69,43,6,4210,7770,2,1,0,30
1,42,43,6,100,5590,1,1,0,28
2,25,39,1,4230,8190,1,1,0,63
1,40,39,6,630,3895,1,1,0,46
1,40,43,4,120,7860,1,1,0,37
1,40,43,4,800,7070,1,1,0,51
1,35,39,6,3640,7980,1,1,0,21
