,value,occ_title,Unnamed: 0,occ_code,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly,class
296,5610.0,"shipping, receiving, and traffic clerks",881.0,43-5070,broad,"671,780",0.7,16.25,"33,790",0.2,10.43,12.43,15.29,18.98,23.67,"21,690","25,860","31,810","39,490","49,240",,,Middle Income
297,5620.0,stock clerks and order fillers,883.0,43-5080,broad,"2,046,040",0.5,13.20,"27,450",0.2,9.07,10.17,11.77,15.11,19.40,"18,870","21,140","24,470","31,430","40,360",,,Low Income
298,5630.0,"weighers, measurers, checkers, and samplers, recordkeeping",885.0,43-5110,broad,"72,630",2.0,15.54,"32,330",0.5,9.87,11.44,14.51,18.53,23.21,"20,530","23,800","30,180","38,540","48,270",,,Low Income
299,5700.0,secretaries and administrative assistants,887.0,43-6000,minor,"3,613,300",0.3,19.74,"41,060",0.1,11.37,14.25,18.21,23.80,30.22,"23,650","29,630","37,870","49,510","62,870",,,Middle Income
300,5800.0,computer operators,894.0,43-9010,broad,"40,400",2.6,21.79,"45,320",0.6,12.43,16.23,21.28,27.42,30.79,"25,860","33,760","44,270","57,030","64,050",,,Middle Income
301,5810.0,data entry keyers,897.0,43-9021,detailed,"180,100",1.3,15.64,"32,530",0.3,10.37,12.44,14.87,18.19,22.24,"21,570","25,870","30,930","37,840","46,260",,,Low Income
302,5820.0,word processors and typists,898.0,43-9022,detailed,"65,200",2.8,19.74,"41,070",1.6,12.87,15.79,19.11,23.28,27.91,"26,770","32,850","39,740","48,420","58,040",,,Middle Income
303,5840.0,insurance claims and policy processing clerks,901.0,43-9040,broad,"277,130",1.7,19.76,"41,090",0.4,12.86,15.50,18.65,23.24,28.53,"26,750","32,230","38,790","48,340","59,340",,,Middle Income
304,5850.0,"mail clerks and mail machine operators, except postal service",903.0,43-9050,broad,"85,800",2.0,15.00,"31,200",0.5,9.52,11.24,14.24,18.03,22.17,"19,800","23,380","29,620","37,500","46,100",,,Low Income
305,5860.0,"office clerks, general",905.0,43-9060,broad,"2,967,620",0.4,16.30,"33,910",0.2,9.55,11.55,15.14,19.46,24.80,"19,870","24,020","31,500","40,480","51,590",,,Middle Income
306,5900.0,"office machine operators, except computer",907.0,43-9070,broad,"54,950",2.9,15.96,"33,190",0.6,10.26,12.11,15.08,18.78,23.43,"21,340","25,200","31,360","39,060","48,740",,,Low Income
307,5910.0,proofreaders and copy markers,909.0,43-9080,broad,"11,420",5.2,19.43,"40,410",1.6,10.91,13.85,18.05,23.84,29.56,"22,700","28,820","37,550","49,580","61,480",,,Middle Income
308,5920.0,statistical assistants,911.0,43-9110,broad,"10,110",3.2,23.60,"49,090",0.8,15.05,18.28,22.79,28.28,34.06,"31,310","38,030","47,400","58,820","70,850",,,Middle Income
309,5940.0,"miscellaneous office and administrative support workers, including desktop publishers",,,,,,,,,,,,,,,,,,,,,
310,6005.0,"first-line supervisors of farming, fishing, and forestry workers",917.0,45-1010,broad,"20,750",2.5,24.11,"50,160",0.9,13.23,16.61,22.39,29.42,37.36,"27,510","34,550","46,570","61,200","77,710",,,Middle Income
311,6010.0,agricultural inspectors,920.0,45-2010,broad,"13,960",2.1,21.60,"44,930",0.5,13.21,15.80,20.86,25.43,31.31,"27,470","32,860","43,390","52,890","65,130",,,Middle Income
312,6040.0,"graders and sorters, agricultural products",924.0,45-2040,broad,"39,810",4.2,11.84,"24,620",0.8,8.97,10.13,11.22,12.60,15.84,"18,660","21,080","23,340","26,210","32,960",,,Low Income
313,6050.0,"miscellaneous agricultural workers, including animal breeders",,,,,,,,,,,,,,,,,,,,,
314,6100.0,fishing and hunting workers,931.0,45-3000,minor,750,15.3,15.06,"31,330",6.2,9.00,10.64,13.72,19.79,23.16,"18,710","22,120","28,530","41,160","48,170",,,Low Income
315,6120.0,forest and conservation workers,935.0,45-4010,broad,"7,080",4.8,15.06,"31,320",1.2,9.93,10.20,13.30,18.20,23.36,"20,650","21,220","27,650","37,870","48,600",,,Low Income
316,6130.0,logging workers,937.0,45-4020,broad,"37,730",2.5,19.63,"40,830",1.1,11.80,14.91,18.67,23.32,28.73,"24,540","31,010","38,840","48,510","59,760",,,Middle Income
317,6200.0,first-line supervisors of construction trades and extraction workers,944.0,47-1010,broad,"556,300",0.6,33.27,"69,200",0.2,19.75,24.72,30.80,39.72,50.08,"41,080","51,410","64,070","82,620","104,160",,,Middle Income
318,6210.0,boilermakers,947.0,47-2010,broad,"15,020",4.5,30.30,"63,010",1.2,18.60,24.60,29.93,36.61,41.91,"38,700","51,160","62,260","76,140","87,160",,,Middle Income
319,6220.0,"brickmasons, blockmasons, stonemasons, and reinforcing iron and rebar workers",,,,,,,,,,,,,,,,,,,,,
320,6230.0,carpenters,952.0,47-2030,broad,"693,050",0.8,23.86,"49,630",0.4,13.36,16.70,21.71,28.93,38.63,"27,790","34,740","45,170","60,180","80,350",,,Middle Income
321,6240.0,"carpet, floor, and tile installers and finishers",954.0,47-2040,broad,"81,130",2.5,21.65,"45,030",1.3,11.34,14.64,19.35,26.50,35.57,"23,590","30,450","40,250","55,120","73,990",,,Middle Income
322,6250.0,"cement masons, concrete finishers, and terrazzo workers",959.0,47-2050,broad,"181,270",1.6,21.87,"45,490",0.7,13.23,15.94,19.54,25.64,35.09,"27,530","33,170","40,650","53,330","72,980",,,Middle Income
323,6260.0,construction laborers,962.0,47-2060,broad,"962,060",0.7,18.70,"38,890",0.3,10.71,13.18,16.60,22.24,30.48,"22,280","27,410","34,530","46,260","63,400",,,Middle Income
324,6300.0,"paving, surfacing, and tamping equipment operators",965.0,47-2071,detailed,"49,760",2.8,21.10,"43,890",1.3,12.85,15.37,18.81,24.26,33.47,"26,730","31,960","39,120","50,460","69,620",,,Middle Income
325,6320.0,"construction equipment operators except paving, surfacing, and tamping equipment operators",,,,,,,,,,,,,,,,,,,,,
326,6330.0,"drywall installers, ceiling tile installers, and tapers",968.0,47-2080,broad,"114,630",2.3,24.15,"50,240",1.3,13.40,16.64,21.14,28.85,41.37,"27,860","34,610","43,970","60,000","86,050",,,Middle Income
327,6355.0,electricians,971.0,47-2110,broad,"631,080",0.8,27.84,"57,910",0.5,15.47,19.38,26.01,34.34,44.56,"32,180","40,320","54,110","71,430","92,690",,,Middle Income
328,6360.0,glaziers,973.0,47-2120,broad,"47,330",3.4,22.83,"47,480",1.2,12.90,16.10,20.47,27.60,38.03,"26,840","33,490","42,580","57,410","79,090",,,Middle Income
329,6400.0,insulation workers,975.0,47-2130,broad,"55,930",3.1,21.68,"45,090",1.1,12.62,15.38,19.20,25.52,35.44,"26,240","31,990","39,930","53,090","73,710",,,Middle Income
330,6420.0,painters and paperhangers,978.0,47-2140,broad,"224,050",1.2,20.11,"41,830",0.7,12.12,14.80,18.24,23.99,30.58,"25,200","30,780","37,950","49,900","63,600",,,Middle Income
331,6440.0,"pipelayers, plumbers, pipefitters, and steamfitters",981.0,47-2150,broad,"466,950",1.1,26.89,"55,920",0.5,14.68,18.42,24.72,32.81,43.20,"30,530","38,310","51,420","68,240","89,850",,,Middle Income
332,6460.0,plasterers and stucco masons,984.0,47-2160,broad,"24,180",5.1,21.83,"45,410",1.5,13.41,16.13,19.59,25.69,34.15,"27,890","33,550","40,750","53,430","71,020",,,Middle Income
333,6515.0,roofers,988.0,47-2180,broad,"121,170",1.8,20.57,"42,780",0.9,12.31,15.06,18.74,24.49,31.18,"25,590","31,330","38,970","50,940","64,860",,,Middle Income
334,6520.0,sheet metal workers,990.0,47-2210,broad,"132,920",2.1,25.05,"52,100",1.0,13.14,16.86,23.07,30.78,41.88,"27,330","35,060","47,990","64,030","87,120",,,Middle Income
335,6530.0,structural iron and steel workers,992.0,47-2220,broad,"74,420",2.7,27.37,"56,940",1.1,15.03,18.51,25.30,34.81,44.38,"31,260","38,500","52,610","72,410","92,310",,,Middle Income
336,6600.0,"helpers, construction trades",996.0,47-3000,minor,"229,470",1.4,15.38,"31,980",0.4,10.11,12.08,14.48,17.81,22.14,"21,030","25,130","30,120","37,050","46,060",,,Low Income
337,6660.0,construction and building inspectors,1006.0,47-4010,broad,"98,810",1.3,29.82,"62,020",0.5,16.94,21.81,28.41,36.67,45.84,"35,220","45,360","59,090","76,260","95,340",,,Middle Income
338,6700.0,elevator installers and repairers,1008.0,47-4020,broad,"24,490",4.3,37.08,"77,130",1.3,18.57,26.64,38.21,47.45,55.71,"38,630","55,400","79,480","98,700","115,880",,,Middle Income
339,6710.0,fence erectors,1010.0,47-4030,broad,"21,430",5.3,17.43,"36,260",1.6,10.80,13.07,16.02,19.58,26.33,"22,460","27,190","33,320","40,730","54,760",,,Middle Income
340,6720.0,hazardous materials removal workers,1012.0,47-4040,broad,"43,260",2.7,22.27,"46,330",1.1,12.92,15.86,19.91,27.69,36.14,"26,880","32,980","41,400","57,600","75,160",,,Middle Income
341,6730.0,highway maintenance workers,1014.0,47-4050,broad,"146,580",1.0,19.38,"40,300",0.3,12.12,14.98,18.61,23.20,27.88,"25,220","31,160","38,700","48,250","57,990",,,Middle Income
342,6740.0,rail-track laying and maintenance equipment operators,1016.0,47-4060,broad,"15,070",4.7,27.10,"56,360",3.8,16.00,20.56,26.95,33.01,38.09,"33,280","42,760","56,060","68,650","79,230",,,Middle Income
343,6765.0,"miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",,,,,,,,,,,,,,,,,,,,,
344,6800.0,"derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",,,,,,,,,,,,,,,,,,,,,
345,6820.0,"earth drillers, except oil and gas",1027.0,47-5020,broad,"17,470",3.9,22.83,"47,480",1.1,14.41,16.96,21.08,27.08,34.60,"29,960","35,270","43,850","56,330","71,960",,,Middle Income
346,6830.0,"explosives workers, ordnance handling experts, and blasters",1029.0,47-5030,broad,"5,850",6.2,25.38,"52,790",2.2,16.50,19.37,23.87,30.19,36.96,"34,320","40,290","49,650","62,790","76,870",,,Middle Income
347,6840.0,mining machine operators,1031.0,47-5040,broad,"20,240",5.3,25.82,"53,710",1.4,16.41,20.42,25.58,30.70,36.67,"34,130","42,470","53,200","63,850","76,270",,,Middle Income
348,6940.0,"miscellaneous extraction workers, including roof bolters and helpers",,,,,,,,,,,,,,,,,,,,,
349,7000.0,"first-line supervisors of mechanics, installers, and repairers",1047.0,49-1010,broad,"460,370",0.5,32.75,"68,120",0.2,18.90,24.31,31.15,39.53,49.21,"39,310","50,560","64,780","82,220","102,350",,,Middle Income
350,7010.0,"computer, automated teller, and office machine repairers",1050.0,49-2010,broad,"100,580",1.9,19.30,"40,140",0.6,11.34,14.05,18.13,23.43,29.36,"23,590","29,220","37,710","48,730","61,060",,,Middle Income
351,7020.0,radio and telecommunications equipment installers and repairers,1052.0,49-2020,broad,"249,000",1.3,26.52,"55,160",0.4,15.00,19.25,25.76,33.86,38.78,"31,190","40,040","53,590","70,430","80,670",,,Middle Income
352,7030.0,avionics technicians,1056.0,49-2091,detailed,"18,620",3.2,30.60,"63,650",1.6,19.21,24.89,30.12,36.91,43.94,"39,960","51,760","62,650","76,770","91,390",,,Middle Income
353,7040.0,"electric motor, power tool, and related repairers",1057.0,49-2092,detailed,"17,220",4.2,22.23,"46,230",1.9,12.23,15.95,20.47,26.75,36.38,"25,450","33,180","42,580","55,650","75,680",,,Middle Income
354,7100.0,"electrical and electronics repairers, transportation equipment, and industrial and utility",,,,,,,,,,,,,,,,,,,,,
355,7110.0,"electronic equipment installers and repairers, motor vehicles",1061.0,49-2096,detailed,"11,520",7.1,17.33,"36,050",1.7,10.60,13.19,16.60,20.44,25.28,"22,040","27,440","34,530","42,510","52,590",,,Middle Income
356,7120.0,electronic home entertainment equipment installers and repairers,1062.0,49-2097,detailed,"25,810",5.0,18.74,"38,980",1.8,10.54,13.65,17.88,23.01,28.58,"21,930","28,400","37,190","47,850","59,460",,,Middle Income
357,7130.0,security and fire alarm systems installers,1063.0,49-2098,detailed,"69,830",2.8,22.64,"47,100",0.7,13.69,17.07,21.96,27.77,32.97,"28,480","35,510","45,670","57,760","68,580",,,Middle Income
358,7140.0,aircraft mechanics and service technicians,1065.0,49-3010,broad,"131,500",2.1,30.07,"62,540",0.9,17.32,23.41,29.34,36.48,44.27,"36,030","48,680","61,020","75,880","92,080",,,Middle Income
359,7150.0,automotive body and related repairers,1068.0,49-3021,detailed,"144,320",1.4,21.94,"45,630",0.6,12.24,15.64,20.18,26.89,33.98,"25,470","32,530","41,970","55,930","70,670",,,Middle Income
360,7160.0,automotive glass installers and repairers,1069.0,49-3022,detailed,"20,190",7.1,17.23,"35,830",1.3,11.08,13.28,16.43,20.51,24.37,"23,040","27,620","34,170","42,660","50,690",,,Middle Income
361,7200.0,automotive service technicians and mechanics,1070.0,49-3023,detailed,"639,700",0.7,20.51,"42,660",0.3,10.87,14.12,19.02,25.77,31.46,"22,610","29,370","39,550","53,590","65,430",,,Middle Income
362,7210.0,bus and truck mechanics and diesel engine specialists,1071.0,49-3030,broad,"260,380",1.1,23.08,"48,000",0.3,14.61,17.74,22.29,27.94,33.59,"30,400","36,900","46,360","58,110","69,870",,,Middle Income
363,7220.0,heavy vehicle and mobile equipment service technicians and mechanics,1073.0,49-3040,broad,"190,100",1.1,24.42,"50,800",0.4,15.12,18.58,23.77,29.39,35.68,"31,450","38,650","49,440","61,140","74,200",,,Middle Income
364,7240.0,small engine mechanics,1077.0,49-3050,broad,"68,300",1.8,18.36,"38,190",0.5,10.97,13.62,17.30,22.31,27.91,"22,810","28,330","35,990","46,400","58,050",,,Middle Income
365,7260.0,"miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",1081.0,49-3090,broad,"142,190",1.9,14.28,"29,700",0.6,9.51,10.95,13.31,16.69,20.77,"19,780","22,780","27,690","34,700","43,200",,,Low Income
366,7300.0,control and valve installers and repairers,1086.0,49-9010,broad,"68,700",2.5,25.34,"52,710",0.9,14.09,17.64,23.57,31.65,40.08,"29,310","36,700","49,020","65,830","83,370",,,Middle Income
367,7315.0,"heating, air conditioning, and refrigeration mechanics and installers",1089.0,49-9020,broad,"307,060",1.3,23.81,"49,530",0.5,14.00,17.38,22.64,28.98,36.22,"29,120","36,150","47,080","60,270","75,330",,,Middle Income
368,7320.0,home appliance repairers,1091.0,49-9030,broad,"32,250",3.9,19.61,"40,790",1.1,11.14,14.28,18.35,23.95,29.64,"23,170","29,710","38,160","49,820","61,660",,,Middle Income
369,7330.0,industrial and refractory machinery mechanics,,,,,,,,,,,,,,,,,,,,,
370,7340.0,"maintenance and repair workers, general",1107.0,49-9070,broad,"1,351,210",0.4,19.37,"40,280",0.2,10.97,13.91,18.11,23.75,29.67,"22,820","28,930","37,670","49,410","61,720",,,Middle Income
371,7350.0,"maintenance workers, machinery",1095.0,49-9043,detailed,"83,520",1.5,22.71,"47,240",0.5,13.56,17.14,21.89,27.60,33.42,"28,200","35,650","45,540","57,420","69,500",,,Middle Income
372,7360.0,millwrights,1096.0,49-9044,detailed,"41,360",2.6,26.58,"55,290",0.8,16.03,20.03,25.95,32.61,38.51,"33,350","41,670","53,980","67,820","80,090",,,Middle Income
373,7410.0,electrical power-line installers and repairers,1099.0,49-9051,detailed,"116,650",2.0,33.04,"68,710",0.6,18.08,25.04,33.36,41.05,48.01,"37,600","52,070","69,380","85,370","99,860",,,Middle Income
374,7420.0,telecommunications line installers and repairers,1100.0,49-9052,detailed,"107,090",2.3,27.09,"56,340",0.8,13.97,17.96,26.47,35.79,41.11,"29,060","37,350","55,060","74,440","85,500",,,Middle Income
375,7430.0,precision instrument and equipment repairers,1101.0,49-9060,broad,"69,700",2.0,24.41,"50,760",0.6,13.36,17.00,23.04,29.97,37.86,"27,780","35,360","47,920","62,330","78,760",,,Middle Income
376,7510.0,"coin, vending, and amusement machine servicers and repairers",1112.0,49-9091,detailed,"34,010",2.9,16.97,"35,290",1.2,9.75,12.27,16.20,20.54,25.07,"20,280","25,520","33,690","42,720","52,140",,,Middle Income
377,7540.0,locksmiths and safe repairers,1115.0,49-9094,detailed,"17,500",4.3,20.54,"42,730",1.3,11.03,14.59,19.56,25.82,30.70,"22,940","30,340","40,680","53,700","63,860",,,Middle Income
378,7560.0,riggers,1117.0,49-9096,detailed,"21,000",5.2,24.17,"50,270",1.4,13.91,17.53,23.36,29.32,36.22,"28,930","36,460","48,580","60,980","75,340",,,Middle Income
379,7610.0,"helpers--installation, maintenance, and repair workers",1119.0,49-9098,detailed,"112,080",1.6,14.63,"30,430",0.4,9.33,10.97,13.70,17.35,21.82,"19,410","22,810","28,490","36,090","45,390",,,Low Income
380,7630.0,"miscellaneous installation, maintenance, and repair workers, including wind turbine service technicians",,,,,,,,,,,,,,,,,,,,,
381,7700.0,first-line supervisors of production and operating workers,1123.0,51-1010,broad,"611,800",0.4,30.13,"62,660",0.2,16.84,21.59,28.31,36.71,46.82,"35,020","44,910","58,870","76,370","97,380",,,Middle Income
382,7710.0,"aircraft structure, surfaces, rigging, and systems assemblers",1126.0,51-2010,broad,"41,130",6.2,26.64,"55,400",2.2,15.67,19.57,25.73,33.58,38.86,"32,600","40,700","53,510","69,850","80,820",,,Middle Income
383,7720.0,"electrical, electronics, and electromechanical assemblers",1128.0,51-2020,broad,"276,340",1.6,16.78,"34,910",0.5,10.60,12.64,15.66,19.63,24.48,"22,060","26,290","32,570","40,840","50,920",,,Middle Income
384,7730.0,engine and other machine assemblers,1131.0,51-2030,broad,"37,770",3.7,21.40,"44,520",2.1,13.11,15.99,20.86,27.03,30.26,"27,270","33,270","43,390","56,220","62,940",,,Middle Income
385,7740.0,structural metal fabricators and fitters,1133.0,51-2040,broad,"77,600",2.0,19.47,"40,490",0.7,12.47,15.08,18.49,23.02,28.38,"25,940","31,370","38,450","47,880","59,040",,,Middle Income
386,7750.0,miscellaneous assemblers and fabricators,1135.0,51-2090,broad,"1,326,870",0.9,15.97,"33,210",0.6,10.02,11.72,14.77,18.82,24.39,"20,830","24,380","30,720","39,150","50,730",,,Low Income
387,7800.0,bakers,1140.0,51-3010,broad,"182,890",1.5,13.42,"27,920",0.5,9.24,10.45,12.35,15.32,19.15,"19,230","21,730","25,690","31,870","39,830",,,Low Income
388,7810.0,"butchers and other meat, poultry, and fish processing workers",1142.0,51-3020,broad,"362,380",1.8,13.92,"28,960",0.5,9.64,10.91,13.14,16.12,19.44,"20,060","22,700","27,330","33,530","40,440",,,Low Income
389,7830.0,"food and tobacco roasting, baking, and drying machine operators and tenders",1147.0,51-3091,detailed,"21,130",3.3,15.23,"31,680",1.5,9.61,11.15,14.14,18.31,23.46,"19,980","23,190","29,410","38,080","48,790",,,Low Income
390,7840.0,food batchmakers,1148.0,51-3092,detailed,"151,950",2.2,14.85,"30,880",0.7,9.65,11.04,13.70,17.97,22.62,"20,080","22,960","28,500","37,380","47,060",,,Low Income
391,7850.0,food cooking machine operators and tenders,1149.0,51-3093,detailed,"33,340",4.3,14.54,"30,240",1.2,9.49,11.06,13.66,17.31,21.49,"19,740","22,990","28,420","36,010","44,690",,,Low Income
392,7855.0,"food processing workers, all other",1150.0,51-3099,detailed,"43,540",4.0,12.69,"26,390",0.8,9.64,10.47,11.76,14.30,17.48,"20,050","21,770","24,460","29,750","36,370",,,Low Income
393,7900.0,computer control programmers and operators,1152.0,51-4010,broad,"168,450",1.4,20.72,"43,100",0.5,12.85,15.72,19.56,24.50,30.02,"26,720","32,700","40,680","50,960","62,440",,,Middle Income
394,7920.0,"extruding and drawing machine setters, operators, and tenders, metal and plastic",1156.0,51-4021,detailed,"73,530",2.5,17.33,"36,050",0.7,11.03,13.26,16.63,20.85,24.66,"22,930","27,580","34,600","43,360","51,290",,,Middle Income
395,7930.0,"forging machine setters, operators, and tenders, metal and plastic",1157.0,51-4022,detailed,"18,300",3.7,19.39,"40,340",3.2,11.61,14.55,18.58,23.59,28.74,"24,150","30,270","38,650","49,070","59,790",,,Middle Income
396,7940.0,"rolling machine setters, operators, and tenders, metal and plastic",1158.0,51-4023,detailed,"25,610",4.5,19.15,"39,840",1.1,12.31,14.52,18.20,23.33,28.23,"25,610","30,200","37,860","48,530","58,720",,,Middle Income
397,7950.0,"machine tool cutting setters, operators, and tenders, metal and plastic",1159.0,51-4030,broad,"321,590",1.2,17.37,"36,140",0.4,10.93,13.14,16.46,20.73,25.37,"22,730","27,330","34,230","43,110","52,770",,,Middle Income
398,8030.0,machinists,1165.0,51-4040,broad,"378,320",0.9,21.23,"44,160",0.3,12.71,16.06,20.48,25.74,30.67,"26,430","33,410","42,600","53,540","63,790",,,Middle Income
399,8040.0,"metal furnace operators, tenders, pourers, and casters",1167.0,51-4050,broad,"25,210",3.7,19.81,"41,210",1.1,12.10,15.28,19.35,23.82,28.67,"25,160","31,770","40,250","49,540","59,620",,,Middle Income
400,8100.0,"model makers, patternmakers, and molding machine setters, metal and plastic",,,,,,,,,,,,,,,,,,,,,
401,8130.0,tool and die makers,1178.0,51-4110,broad,"73,510",2.0,25.60,"53,260",0.8,15.64,19.96,25.23,30.41,36.76,"32,530","41,510","52,480","63,260","76,450",,,Middle Income
402,8140.0,"welding, soldering, and brazing workers",1180.0,51-4120,broad,"416,000",0.9,20.67,"42,980",0.3,13.07,15.86,19.19,24.06,30.13,"27,190","33,000","39,910","50,050","62,670",,,Middle Income
403,8220.0,"miscellaneous metal workers and plastic workers, including multiple machine tool setters",,,,,,,,,,,,,,,,,,,,,
404,8250.0,prepress technicians and workers,1191.0,51-5111,detailed,"31,500",2.3,20.08,"41,770",0.8,11.84,14.98,19.19,24.37,29.76,"24,630","31,160","39,910","50,700","61,900",,,Middle Income
405,8255.0,printing press operators,1192.0,51-5112,detailed,"171,130",1.2,18.20,"37,860",0.5,10.49,13.10,17.19,22.42,27.93,"21,820","27,240","35,760","46,630","58,090",,,Middle Income
406,8256.0,print binding and finishing workers,1193.0,51-5113,detailed,"48,680",2.9,16.36,"34,040",0.7,10.20,12.08,15.40,19.68,24.12,"21,210","25,140","32,040","40,930","50,160",,,Middle Income
407,8300.0,laundry and dry-cleaning workers,1195.0,51-6010,broad,"209,350",1.2,11.43,"23,770",0.4,8.57,9.40,10.75,12.47,15.31,"17,830","19,550","22,370","25,930","31,840",,,Low Income
408,8310.0,"pressers, textile, garment, and related materials",1197.0,51-6020,broad,"42,830",3.0,11.09,"23,080",0.6,8.51,9.43,10.79,12.27,14.48,"17,700","19,620","22,440","25,510","30,110",,,Low Income
409,8320.0,sewing machine operators,1199.0,51-6030,broad,"136,530",1.9,12.62,"26,250",0.5,9.03,10.20,11.69,14.42,17.83,"18,770","21,220","24,320","30,000","37,090",,,Low Income
410,8330.0,shoe and leather workers,1201.0,51-6040,broad,"10,680",7.6,13.24,"27,540",1.5,8.93,10.01,12.62,15.36,18.41,"18,570","20,820","26,240","31,950","38,290",,,Low Income
411,8350.0,"tailors, dressmakers, and sewers",1204.0,51-6050,broad,"26,620",6.8,14.94,"31,080",1.7,9.60,10.86,13.42,17.60,23.28,"19,960","22,580","27,920","36,600","48,430",,,Low Income
412,8400.0,"textile bleaching and dyeing, and cutting machine setters, operators, and tenders",,,,,,,,,,,,,,,,,,,,,
413,8410.0,"textile knitting and weaving machine setters, operators, and tenders",1210.0,51-6063,detailed,"20,920",3.9,13.99,"29,100",0.9,9.80,11.11,13.44,16.32,19.07,"20,380","23,100","27,960","33,950","39,660",,,Low Income
414,8420.0,"textile winding, twisting, and drawing out machine setters, operators, and tenders",1211.0,51-6064,detailed,"30,940",3.7,13.91,"28,920",0.8,10.24,11.92,13.59,15.31,18.33,"21,290","24,790","28,270","31,840","38,130",,,Low Income
415,8450.0,upholsterers,1215.0,51-6093,detailed,"32,500",3.6,16.85,"35,060",0.8,10.17,12.75,16.18,19.76,24.65,"21,160","26,530","33,660","41,100","51,260",,,Middle Income
416,8460.0,"miscellaneous textile, apparel, and furnishings workers except upholsterers",,,,,,,,,,,,,,,,,,,,,
417,8500.0,cabinetmakers and bench carpenters,1218.0,51-7010,broad,"97,820",1.8,17.18,"35,740",0.5,10.59,12.90,16.31,20.54,25.28,"22,020","26,830","33,920","42,710","52,580",,,Middle Income
418,8510.0,furniture finishers,1220.0,51-7020,broad,"17,530",3.1,15.95,"33,170",0.8,10.35,12.38,15.05,18.62,23.37,"21,530","25,760","31,300","38,720","48,610",,,Low Income
419,8530.0,"sawing machine setters, operators, and tenders, wood",1226.0,51-7041,detailed,"51,950",2.3,14.74,"30,670",0.6,9.88,11.43,13.98,17.46,21.24,"20,560","23,760","29,080","36,310","44,190",,,Low Income
420,8540.0,"woodworking machine setters, operators, and tenders, except sawing",1227.0,51-7042,detailed,"79,650",2.8,14.60,"30,370",0.4,9.86,11.50,14.00,17.25,20.62,"20,500","23,930","29,110","35,890","42,880",,,Low Income
421,8550.0,"miscellaneous woodworkers, including model makers and patternmakers",,,,,,,,,,,,,,,,,,,,,
422,8600.0,"power plant operators, distributors, and dispatchers",1231.0,51-8010,broad,"52,290",1.7,38.25,"79,560",0.5,23.66,31.25,38.67,46.13,52.04,"49,210","65,000","80,440","95,950","108,240",,,Middle Income
423,8610.0,stationary engineers and boiler operators,1235.0,51-8020,broad,"32,790",2.0,30.15,"62,710",1.0,17.51,22.61,28.79,36.31,45.73,"36,420","47,040","59,890","75,530","95,110",,,Middle Income
424,8620.0,water and wastewater treatment plant and system operators,1237.0,51-8030,broad,"117,450",1.0,23.22,"48,290",0.4,13.42,17.10,22.19,28.33,35.30,"27,910","35,560","46,150","58,930","73,410",,,Middle Income
425,8630.0,miscellaneous plant and system operators,1239.0,51-8090,broad,"96,240",2.2,31.21,"64,920",0.7,18.77,24.15,31.04,37.81,45.12,"39,040","50,230","64,560","78,650","93,840",,,Middle Income
426,8640.0,"chemical processing machine setters, operators, and tenders",1245.0,51-9010,broad,"126,320",1.9,22.87,"47,560",1.0,12.63,16.03,21.21,28.59,36.16,"26,260","33,330","44,110","59,460","75,210",,,Middle Income
427,8650.0,"crushing, grinding, polishing, mixing, and blending workers",1248.0,51-9020,broad,"191,200",1.5,17.90,"37,230",0.4,10.88,13.24,16.87,21.56,26.60,"22,630","27,530","35,100","44,850","55,320",,,Middle Income
428,8710.0,cutting workers,1252.0,51-9030,broad,"72,690",2.0,16.30,"33,910",0.5,10.47,12.59,15.70,19.32,23.48,"21,770","26,190","32,650","40,190","48,830",,,Middle Income
429,8720.0,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",1255.0,51-9040,broad,"76,120",2.7,17.03,"35,430",0.6,11.04,13.12,16.19,20.29,24.56,"22,950","27,290","33,680","42,190","51,090",,,Middle Income
430,8730.0,"furnace, kiln, oven, drier, and kettle operators and tenders",1257.0,51-9050,broad,"18,030",3.0,18.89,"39,280",0.9,11.81,14.42,18.07,23.01,27.85,"24,570","30,000","37,580","47,870","57,920",,,Middle Income
431,8740.0,"inspectors, testers, sorters, samplers, and weighers",1259.0,51-9060,broad,"537,500",0.7,19.73,"41,040",0.4,10.85,13.64,17.95,23.95,30.99,"22,560","28,370","37,340","49,810","64,450",,,Middle Income
432,8750.0,jewelers and precious stone and metal workers,1261.0,51-9070,broad,"25,710",4.1,20.28,"42,180",1.9,10.69,13.36,18.25,24.31,31.32,"22,240","27,790","37,960","50,560","65,140",,,Middle Income
433,8760.0,"medical, dental, and ophthalmic laboratory technicians",1263.0,51-9080,broad,"79,370",1.9,18.61,"38,710",0.6,10.84,13.23,16.95,22.44,28.80,"22,540","27,520","35,250","46,670","59,890",,,Middle Income
434,8800.0,packaging and filling machine operators and tenders,1267.0,51-9110,broad,"392,910",1.4,15.38,"31,990",0.4,9.82,11.31,14.11,18.31,23.34,"20,430","23,530","29,350","38,090","48,550",,,Low Income
